player,org,rds,average_combat_score,kill_deaths,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,clutch_won_played,total_kills,total_deaths,total_assists,total_first_kills,total_first_deaths,map_id,agent,region
Davidaustin,Legion,438,319.8,1.23,170.2,0.98,0.32,0.14,0.14,42.3,22.4,0.38,429,539,140,61,61,3,Viper,India
Matthewalexander,Obsidian,451,304.4,1.31,157.9,0.96,0.49,0.23,0.19,37.0,55.3,0.89,433,591,221,104,86,5,KAY/O,NA
Alexandriaanderson,T1A,448,354.1,1.61,165.1,1.1,0.31,0.39,0.07,43.5,58.9,0.51,493,721,139,175,31,6,Reyna,Oceania
Zhernandez,Obsidian,354,313.8,1.9,186.2,0.97,0.43,0.23,0.17,40.8,65.8,0.26,343,673,152,81,60,1,KAY/O,India
Tpreston,Fusion,427,245.9,0.93,181.7,0.86,0.41,0.17,0.03,20.7,54.1,0.38,367,397,175,73,13,4,Astra,Japan
Francojean,Mystic,108,260.1,1.44,161.7,0.46,0.25,0.17,0.09,27.3,19.0,0.33,50,156,27,18,10,2,Viper,ME
Berryjoel,Harmony,195,269.1,1.39,162.3,1.4,0.51,0.09,0.02,15.5,48.8,0.49,273,271,99,18,4,6,Astra,ASIA
Reedjonathan,Fusion,377,318.7,0.6,198.4,1.01,0.39,0.26,0.15,41.2,22.1,0.38,381,226,147,98,57,3,Fade,EU
Gschmitt,Eclipse,486,278.2,1.34,116.7,1.43,0.47,0.12,0.02,24.6,17.6,0.56,695,651,228,58,10,2,Astra,LATAM
Jerryfrank,Legion,141,276.0,1.43,206.2,1.49,0.41,0.17,0.15,51.7,55.3,0.11,210,202,58,24,21,7,Neon,NA
Williamreed,Mirage,147,338.8,1.85,210.2,1.01,0.44,0.27,0.08,45.4,27.0,0.35,148,272,65,40,12,1,Phoenix,ME
Lisa53,Quantum,156,292.4,1.65,174.1,0.84,0.54,0.21,0.2,49.2,50.9,0.91,131,257,84,33,31,6,Fade,Japan
Jenniferdavis,Storm,432,270.2,1.1,154.3,0.85,0.69,0.15,0.11,42.3,37.5,0.12,367,475,298,65,48,4,Cypher,LATAM
Sarah07,Titan,150,321.0,1.56,164.6,0.75,0.31,0.21,0.1,15.5,10.8,0.57,112,234,46,32,15,4,Viper,China
Georgedavid,Ascend,118,298.3,1.16,148.7,0.86,0.66,0.21,0.1,31.5,29.7,0.59,101,137,78,25,12,1,Killjoy,Oceania
Ajohnson,Titan,105,269.9,1.49,166.6,0.46,0.79,0.11,0.25,39.7,22.6,0.53,48,156,83,12,26,5,Sage,EU
Jason00,Legion,358,266.6,1.23,173.3,1.52,0.29,0.11,0.0,37.8,21.5,0.45,544,440,104,39,0,2,Reyna,China
Dakota19,Pulse,472,306.6,1.34,181.2,0.76,0.85,0.29,0.12,35.3,24.5,0.65,359,632,401,137,57,3,Skye,NA
Mooreeric,T1A,148,312.0,0.83,162.1,1.09,0.92,0.15,0.13,28.7,36.8,0.43,161,123,136,22,19,7,Fade,India
Jeffrey75,OrgZ,306,295.0,1.49,155.7,0.71,0.77,0.3,0.07,27.2,20.0,0.5,217,456,236,92,21,7,KAY/O,ME
Johnny59,Sentinel,450,261.5,1.23,161.0,0.94,0.58,0.03,0.19,33.7,16.6,0.04,423,554,261,14,86,5,Cypher,India
Bernardkim,Fusion,146,303.4,0.93,176.3,0.56,0.45,0.24,0.14,45.3,33.9,0.33,82,136,66,35,20,3,Breach,EU
Michael96,Rising,141,303.2,1.69,145.0,1.08,0.7,0.09,0.22,37.8,29.4,0.32,152,238,99,13,31,6,Cypher,Japan
Wgregory,OrgY,386,344.4,1.2,163.0,0.92,0.34,0.12,0.03,41.0,23.5,0.74,355,463,131,46,12,1,Astra,ME
Christophergutierrez,Revolution,251,312.3,1.68,159.1,1.19,0.41,0.07,0.11,28.9,33.4,0.28,299,422,103,18,28,2,Astra,EU
Odrake,Obsidian,338,306.7,1.7,156.3,0.92,0.68,0.17,0.16,20.5,68.4,0.62,311,575,230,57,54,5,Sova,ME
Tbradshaw,Revolution,481,289.0,1.14,140.9,0.84,0.47,0.05,0.15,39.2,29.4,0.03,404,548,226,24,72,6,Sage,Japan
Wgraham,Rising,124,276.6,1.7,138.5,1.65,0.35,0.31,0.11,45.2,19.3,0.47,205,211,43,38,14,7,Yoru,Russia
Swood,Spectre,436,248.7,0.57,175.2,0.82,0.24,0.14,0.21,38.3,47.4,0.72,358,249,105,61,92,4,Sage,ME
Lisa02,Obsidian,403,278.8,1.03,155.9,1.07,0.27,0.21,0.06,24.6,42.9,0.27,431,415,109,85,24,5,Brimstone,NA
Harrisemily,Aegis,413,254.6,0.84,156.6,0.68,0.19,0.26,0.24,35.6,53.5,0.61,281,347,78,107,99,3,Killjoy,ASIA
Samuelsutton,Eclipse,411,315.0,1.55,162.2,0.82,0.46,0.08,0.11,32.3,14.9,0.4,337,637,189,33,45,4,Viper,ME
Wheelerholly,Eclipse,288,251.1,1.85,148.8,1.22,0.5,0.16,0.02,27.2,28.2,0.32,351,533,144,46,6,3,Brimstone,ASIA
Jacobrodriguez,Vanguard,121,312.0,1.36,168.1,0.94,0.05,0.16,0.18,47.7,40.9,0.89,114,165,6,19,22,3,Cypher,India
Gfry,Nebula,321,355.3,1.92,143.1,1.08,0.85,0.34,0.13,28.0,58.3,0.66,347,616,273,109,42,3,Skye,China
Kblack,OrgZ,210,313.3,0.91,173.0,0.87,0.58,0.18,0.03,40.6,25.1,0.78,183,191,122,38,6,1,Killjoy,Japan
Nicholas66,OrgY,388,265.7,1.46,181.8,0.85,0.7,0.07,0.16,28.2,21.5,0.27,330,566,272,27,62,3,Killjoy,EU
Alicia18,Sentinel,473,364.3,1.52,161.4,1.68,0.35,0.39,0.2,41.6,27.0,0.52,795,719,166,184,95,4,Jett,LATAM
Jacksonjames,Pulse,255,308.1,1.5,179.2,1.88,0.24,0.35,0.08,25.8,61.2,0.44,479,382,61,89,20,7,Phoenix,Oceania
Rubiofrank,Legion,389,302.9,1.25,169.5,0.85,0.49,0.24,0.16,21.0,21.9,0.12,331,486,191,93,62,4,Fade,Russia
Owensjordan,OrgY,463,251.0,1.37,167.3,0.84,0.82,0.32,0.15,41.3,45.8,0.59,389,634,380,148,69,3,Sova,China
Olawson,OrgY,472,279.5,1.58,184.8,1.26,0.59,0.33,0.09,38.2,46.3,0.54,595,746,278,156,42,4,Sova,Russia
Richard54,Mystic,133,257.4,1.28,150.5,0.58,0.31,0.1,0.02,30.8,16.4,0.32,77,170,41,13,3,3,Brimstone,ASIA
Emily93,Obsidian,411,294.3,1.12,162.6,1.18,0.13,0.35,0.14,49.8,61.3,0.81,485,460,53,144,58,1,Neon,EU
Smithraymond,Pulse,283,346.8,1.22,166.8,1.56,0.36,0.16,0.17,45.9,33.3,0.53,441,345,102,45,48,5,Yoru,EU
Igray,Eclipse,312,356.0,1.31,181.8,0.66,0.54,0.15,0.11,39.9,40.1,0.09,206,409,168,47,34,1,Sova,Russia
Reynoldsryan,Fusion,262,306.2,1.21,212.5,1.84,0.28,0.18,0.12,50.4,55.4,0.24,482,317,73,47,31,3,Neon,Oceania
Jordanpowers,Revolution,210,311.6,1.05,155.9,0.95,0.56,0.11,0.16,28.4,14.9,0.5,200,220,118,23,34,5,Cypher,LATAM
Jessica68,Storm,479,293.3,1.85,217.6,1.68,0.22,0.17,0.16,48.4,62.0,0.78,805,886,105,81,77,7,Neon,India
Dennis75,OrgY,385,267.9,0.94,178.8,0.72,0.27,0.16,0.19,48.8,15.9,0.11,277,362,104,62,73,3,Killjoy,NA
Bennettalan,Pulse,301,336.9,1.69,157.3,1.05,0.9,0.17,0.11,31.3,48.4,0.67,316,509,271,51,33,7,Fade,EU
Patrickfrank,Rising,248,300.9,1.34,171.0,0.72,0.46,0.19,0.03,40.2,50.1,0.19,179,332,114,47,7,4,Sage,LATAM
Martin51,Sentinel,113,285.0,0.67,156.3,1.18,0.48,0.05,0.03,34.6,32.3,0.03,133,76,54,6,3,4,Astra,EU
Kevinrose,Legion,412,297.8,0.96,213.9,0.94,0.4,0.14,0.09,40.6,51.3,0.37,387,396,165,58,37,2,Astra,NA
Vmendez,Spectre,378,282.3,1.37,182.6,1.08,0.27,0.39,0.05,47.9,58.5,0.56,408,518,102,147,19,6,Raze,China
Daykaren,Zenith,251,297.0,1.36,153.1,1.38,0.32,0.11,0.06,24.2,19.0,0.51,346,341,80,28,15,6,Astra,EU
Christy35,Valor,240,324.5,1.17,179.5,1.29,0.37,0.38,0.0,42.4,35.0,0.54,310,281,89,91,0,4,Jett,Oceania
Ronaldknight,Pulse,216,312.4,1.12,180.2,0.82,0.46,0.07,0.15,36.0,47.9,0.57,177,242,99,15,32,6,Brimstone,NA
Leachshannon,Harmony,423,253.5,1.03,165.5,0.84,0.37,0.06,0.09,41.2,42.5,0.93,355,436,157,25,38,3,Cypher,ME
Carlosbraun,Mystic,462,277.6,1.02,137.7,0.88,0.57,0.07,0.21,48.4,53.9,0.38,407,471,263,32,97,5,Cypher,China
Aliciarobinson,Sentinel,106,271.1,0.67,165.1,0.59,0.17,0.02,0.08,42.3,33.9,0.77,63,71,18,2,8,3,Killjoy,China
Scottcraig,Spectre,381,310.5,1.16,135.2,0.76,0.39,0.09,0.2,39.3,11.2,0.57,290,442,149,34,76,2,Killjoy,EU
Yfigueroa,T1A,434,291.6,1.36,148.2,1.47,0.15,0.18,0.18,34.7,61.2,0.97,638,590,65,78,78,2,Jett,LATAM
Oconnoredward,Aegis,225,298.4,1.66,154.7,1.48,0.16,0.37,0.13,38.0,64.4,0.61,333,374,36,83,29,4,Raze,ME
Nelsonheather,T1A,146,303.2,1.45,174.6,1.44,0.11,0.17,0.09,54.7,46.6,0.28,210,212,16,25,13,3,Neon,NA
Bbowen,Valor,491,318.3,1.42,188.4,1.17,0.23,0.34,0.2,37.7,44.9,0.84,574,697,113,167,98,2,Phoenix,India
Gjones,Nebula,361,328.2,1.43,151.8,0.83,0.27,0.15,0.07,22.4,11.0,0.55,300,516,97,54,25,2,Brimstone,LATAM
Houstonwhitney,Dominion,372,282.2,1.23,144.9,0.59,0.56,0.22,0.17,22.2,24.9,0.01,219,458,208,82,63,3,Cypher,Oceania
Janet06,Nebula,264,300.8,0.96,178.0,0.82,0.32,0.22,0.19,23.2,23.3,0.64,216,253,84,58,50,5,Sage,ME
James45,Storm,103,310.0,1.45,171.9,2.02,0.24,0.22,0.03,40.7,28.1,0.63,208,149,25,23,3,6,Raze,Russia
Vincentadams,Nebula,408,285.8,1.63,171.9,0.69,0.53,0.18,0.13,43.5,54.4,0.0,282,665,216,73,53,6,Cypher,ASIA
Ilewis,Eclipse,492,358.2,1.73,140.6,1.11,0.32,0.21,0.06,32.4,37.8,0.25,546,851,157,103,30,6,KAY/O,Russia
Smithsabrina,Vanguard,436,281.2,1.22,160.1,0.88,0.41,0.1,0.16,49.2,14.7,0.21,384,532,179,44,70,2,Sage,Oceania
Cdurham,Eclipse,106,271.1,0.91,177.9,0.88,0.44,0.28,0.22,27.6,14.5,0.5,93,96,47,30,23,2,Sage,Japan
Hawkinsjustin,Nebula,178,315.3,1.28,154.5,0.78,0.55,0.09,0.02,39.9,57.9,0.14,139,228,98,16,4,5,Cypher,India
Nhoward,Infinity,150,274.2,1.46,172.7,0.63,0.57,0.14,0.1,16.8,40.0,0.67,94,219,85,21,15,3,Astra,Japan
Monica50,Obsidian,301,250.7,1.13,186.1,0.74,0.58,0.22,0.11,47.4,55.3,0.91,223,340,175,66,33,2,KAY/O,China
Aimee33,Spectre,289,367.8,1.49,160.9,1.4,0.25,0.25,0.04,27.9,58.1,0.97,405,431,72,72,12,1,Raze,Japan
Phillipsmichael,OrgY,429,281.7,1.21,191.5,0.74,0.54,0.08,0.05,46.6,49.7,0.45,317,519,232,34,21,2,Killjoy,India
Katiemcdonald,Mystic,292,320.9,1.49,150.8,1.34,0.38,0.07,0.14,21.1,19.9,0.55,391,435,111,20,41,3,Viper,EU
Qgibbs,Harmony,481,275.4,1.36,132.8,0.95,0.55,0.19,0.15,42.1,49.9,0.06,457,654,265,91,72,4,Cypher,Oceania
Mruiz,Legion,294,293.3,0.99,176.7,0.96,0.23,0.09,0.13,26.1,14.8,0.22,282,291,68,26,38,7,Astra,Russia
Nclark,Revolution,181,317.5,1.22,173.1,1.78,0.33,0.15,0.06,32.9,54.1,0.15,322,221,60,27,11,7,Phoenix,India
Pamelagill,Spectre,325,272.5,1.02,166.2,1.12,0.42,0.13,0.14,30.1,37.9,0.83,364,332,136,42,46,3,Astra,NA
Maryking,Dominion,115,275.8,1.54,164.3,1.25,0.23,0.15,0.02,34.5,48.5,0.09,144,177,26,17,2,3,Omen,ME
Russelllisa,Obsidian,345,300.6,1.64,219.5,1.23,0.33,0.28,0.01,35.3,18.7,0.29,424,566,114,97,3,4,Jett,Japan
Kaisernancy,Titan,166,317.3,1.44,187.9,1.17,0.15,0.38,0.12,41.1,44.5,0.73,194,239,25,63,20,7,Neon,EU
Kelseymarquez,Obsidian,441,286.0,1.07,157.6,0.92,0.61,0.03,0.16,24.3,23.9,0.44,406,472,269,13,71,1,Cypher,Oceania
Jrodriguez,Pulse,376,313.2,1.24,147.6,1.33,0.25,0.38,0.15,39.7,26.4,0.25,500,466,94,143,56,6,Jett,ASIA
Ogrant,Mirage,370,299.4,1.33,138.0,0.53,0.59,0.15,0.12,33.6,50.2,0.47,196,492,218,56,44,3,Sage,Russia
Alvarezmicheal,Pulse,481,319.8,1.36,207.8,0.79,0.42,0.17,0.15,47.3,47.4,0.46,380,654,202,82,72,4,Jett,Oceania
Dwhite,Mirage,371,325.0,1.5,202.5,2.19,0.28,0.14,0.03,43.3,31.4,0.03,812,556,104,52,11,2,Neon,LATAM
Monicasmith,Pulse,465,327.8,1.15,158.3,0.84,0.13,0.16,0.12,33.5,13.1,0.38,391,535,60,74,56,4,Astra,India
Justinpalmer,Pulse,255,324.0,1.44,176.9,1.77,0.21,0.27,0.08,47.8,16.2,0.81,451,367,54,69,20,5,Yoru,India
Gcruz,Fusion,421,293.7,1.48,157.1,0.72,0.53,0.08,0.24,26.9,29.9,0.29,303,623,223,34,101,6,Cypher,EU
Terry54,Ascend,446,259.6,1.64,160.0,1.27,0.32,0.22,0.08,27.1,27.8,0.06,566,731,143,98,36,5,Omen,ME
Frankgrant,Spectre,208,290.7,1.94,124.5,1.06,0.42,0.08,0.16,31.7,25.2,0.25,220,404,87,17,33,6,Killjoy,India
Joeanderson,Mirage,364,303.7,1.69,157.8,0.82,0.44,0.2,0.1,41.7,53.6,0.12,298,615,160,73,36,6,Omen,Russia
Thompsonchristina,Pulse,111,321.3,1.67,176.7,0.99,0.31,0.11,0.1,43.8,45.1,0.57,110,185,34,12,11,6,Omen,ME
Amanda85,Mirage,386,288.9,1.19,166.7,1.21,0.21,0.16,0.16,36.2,53.8,0.28,467,459,81,62,62,4,Sova,Japan
Uclark,Vanguard,382,282.8,1.17,144.3,0.61,0.46,0.26,0.22,42.2,18.3,0.26,233,447,176,99,84,2,Killjoy,Japan
Adamsjessica,T1A,220,231.8,0.59,149.3,0.98,0.3,0.11,0.16,24.3,24.5,0.68,216,130,66,24,35,7,Cypher,NA
Ostewart,Valor,473,317.9,1.16,155.8,0.86,0.54,0.32,0.05,40.3,33.5,0.74,407,549,255,151,24,2,Skye,NA
Shawkins,Fusion,432,286.9,1.57,206.3,1.58,0.22,0.4,0.2,43.1,21.4,0.58,683,678,95,173,86,5,Neon,ME
Dustinpeck,Revolution,342,293.2,1.39,212.9,0.99,0.41,0.31,0.12,24.5,42.7,0.37,339,475,140,106,41,3,Sova,Russia
Reillycynthia,Zenith,357,256.7,0.9,187.1,0.71,0.61,0.15,0.18,36.4,25.8,0.15,253,321,218,54,64,4,Killjoy,Japan
Drodriguez,Sentinel,421,246.5,1.35,121.4,1.08,0.47,0.29,0.2,22.3,50.2,0.07,455,568,198,122,84,5,Killjoy,China
Ambertaylor,Phantom,354,298.2,1.16,141.7,0.98,0.4,0.07,0.08,39.3,18.6,0.68,347,411,142,25,28,2,Killjoy,India
Moraleserika,Phantom,301,301.5,0.82,177.5,0.91,0.29,0.31,0.16,48.6,37.6,0.9,274,247,87,93,48,1,Sova,NA
Fmartinez,Legion,253,311.0,1.74,182.0,1.36,0.7,0.15,0.07,23.3,47.7,0.7,344,440,177,38,18,2,Sova,NA
Ericterry,Eclipse,283,258.7,1.13,145.6,0.93,0.46,0.33,0.09,31.2,67.2,0.73,263,320,130,93,25,2,KAY/O,LATAM
Jacksonjoshua,Pulse,163,297.8,1.39,181.2,1.38,0.44,0.14,0.06,33.8,43.2,0.94,225,227,72,23,10,5,Brimstone,ASIA
Michael76,Aegis,439,266.5,1.05,163.4,0.21,0.53,0.21,0.14,29.9,13.5,0.26,92,461,233,92,61,3,Cypher,ME
Katherinecole,Vanguard,325,245.7,1.15,136.2,1.21,0.74,0.19,0.17,49.4,42.1,0.81,393,374,240,62,55,2,Breach,India
Mary46,T1A,363,311.5,1.94,148.1,1.17,0.64,0.21,0.11,28.5,25.8,0.96,425,704,232,76,40,2,Fade,ME
Keithgonzalez,OrgZ,440,324.9,1.35,185.8,1.11,0.47,0.24,0.04,26.8,50.5,0.83,488,594,207,106,18,3,Brimstone,China
Jennifer25,Nebula,403,291.7,2.01,189.3,0.9,0.52,0.28,0.08,47.6,27.7,0.62,363,810,210,113,32,1,Sova,China
Michael39,Fusion,260,330.7,0.75,188.3,0.59,0.22,0.31,0.19,34.4,54.4,0.8,153,195,57,81,49,5,KAY/O,ASIA
Trevor07,Zenith,186,309.4,1.13,168.3,0.67,0.49,0.0,0.2,48.5,11.8,0.93,125,210,91,0,37,7,Sage,ASIA
Deannasanders,Nebula,298,256.5,0.73,167.6,0.7,0.45,0.21,0.01,26.6,37.3,0.42,209,218,134,63,3,7,Omen,ASIA
Robertsimon,Nebula,301,311.1,1.35,174.3,1.44,0.3,0.16,0.09,35.4,58.2,0.29,433,406,90,48,27,2,Phoenix,India
Cookstephanie,OrgY,369,338.2,1.18,160.9,1.22,0.51,0.05,0.03,40.4,44.2,0.08,450,435,188,18,11,1,Viper,ASIA
Andrew02,Obsidian,317,331.6,1.36,176.3,1.66,0.33,0.11,0.13,41.9,60.3,0.69,526,431,105,35,41,6,Reyna,NA
Greenwilliam,Titan,398,267.6,2.01,189.5,1.02,0.47,0.22,0.15,39.0,30.8,0.78,406,800,187,88,60,3,Viper,Russia
Benjaminmyers,Sentinel,344,321.1,1.1,178.5,0.76,0.89,0.33,0.17,45.5,21.6,0.31,261,378,306,114,58,2,KAY/O,ME
Heidiharris,Zenith,380,301.8,1.23,166.4,1.56,0.2,0.31,0.13,53.5,15.1,0.65,593,467,76,118,49,2,Raze,India
Christopher07,T1A,216,279.0,1.4,188.9,0.78,0.6,0.34,0.16,35.6,26.0,0.18,168,302,130,73,35,4,Skye,EU
Christian11,Ascend,473,352.2,1.41,172.4,0.76,0.52,0.31,0.16,49.0,63.7,0.56,359,667,246,147,76,4,KAY/O,Russia
Qstark,Pulse,290,306.4,1.23,187.1,1.58,0.25,0.29,0.18,45.6,34.4,0.76,458,357,72,84,52,7,Phoenix,ASIA
Donnarodriguez,Radiant,428,306.7,1.26,181.9,0.95,0.17,0.19,0.16,45.2,20.2,0.13,407,539,73,81,68,4,Fade,China
Kathleengomez,Infinity,341,283.5,1.17,186.1,0.78,0.44,0.16,0.09,24.0,37.8,0.24,266,399,150,55,31,1,Brimstone,EU
Kellybarnes,Rising,203,278.5,1.59,186.5,0.6,0.22,0.12,0.09,42.0,17.8,0.88,122,323,45,24,18,7,Astra,China
Gfritz,Storm,233,238.5,1.2,173.2,1.95,0.27,0.25,0.05,45.6,27.0,0.54,454,280,63,58,12,7,Raze,Japan
Eddie12,Revolution,460,278.9,1.76,180.1,0.55,0.49,0.07,0.22,42.1,59.1,0.05,253,810,225,32,101,2,Cypher,LATAM
Emily99,Revolution,411,345.4,1.67,179.1,1.57,0.2,0.31,0.13,50.9,19.9,0.5,645,686,82,127,53,6,Neon,ME
Patrickcannon,Nova,312,296.5,1.56,175.6,0.73,0.49,0.26,0.17,40.0,50.2,0.68,228,487,153,81,53,5,Skye,Oceania
Matthewking,Dominion,467,303.7,1.46,175.6,2.03,0.17,0.37,0.12,29.0,64.0,0.87,948,682,79,173,56,1,Phoenix,ME
Salazarmaria,Sentinel,408,348.8,1.71,203.6,1.13,0.3,0.23,0.06,28.1,50.1,0.81,461,698,122,94,24,7,Astra,EU
Ublackwell,Nebula,435,335.1,1.69,182.6,0.91,0.92,0.34,0.12,23.8,65.4,0.01,396,735,400,148,52,6,Skye,LATAM
Joann41,Obsidian,312,288.5,0.97,186.2,0.92,0.52,0.12,0.02,23.6,30.2,0.0,287,303,162,37,6,1,Killjoy,ME
Kramereric,Fusion,447,328.0,1.63,173.9,0.92,0.19,0.24,0.02,33.3,36.0,0.69,411,729,85,107,9,4,Sage,EU
Heatherburke,Quantum,124,244.1,0.93,152.2,0.7,0.18,0.02,0.08,24.0,50.1,0.48,87,115,22,2,10,6,Sage,Oceania
Gklein,Eclipse,103,287.7,1.16,176.7,0.78,0.37,0.22,0.08,47.2,57.0,0.17,80,119,38,23,8,3,Sage,ASIA
Juancampos,Mystic,151,284.2,1.22,151.1,0.54,0.2,0.25,0.02,21.3,17.3,0.65,82,184,30,38,3,5,Viper,EU
Annsmith,Quantum,434,234.0,1.55,167.4,0.95,0.28,0.17,0.1,36.0,37.8,0.34,412,673,122,74,43,2,Reyna,India
Sarah74,Infinity,301,345.3,2.0,159.3,0.85,0.8,0.29,0.05,31.8,21.0,0.82,256,602,241,87,15,6,Fade,Oceania
Marvincabrera,Pulse,204,287.1,1.64,155.2,0.97,0.47,0.21,0.17,29.8,47.8,0.64,198,335,96,43,35,6,Killjoy,India
Villegasashley,Valor,423,336.4,1.8,203.9,1.83,0.2,0.37,0.16,40.5,21.6,0.89,774,761,85,157,68,2,Jett,ASIA
Michellemata,Ascend,171,307.8,1.47,149.9,0.79,0.35,0.07,0.08,16.2,17.2,0.13,135,251,60,12,14,1,Brimstone,Russia
Atkinsangela,T1A,245,305.9,1.61,183.0,1.43,0.43,0.12,0.05,51.0,17.1,0.4,350,394,105,29,12,6,Jett,NA
Emma01,Fusion,447,265.3,1.35,182.5,0.82,0.41,0.26,0.01,54.9,17.8,0.27,367,603,183,116,4,1,Reyna,Japan
Bushwilliam,Mystic,381,291.8,2.03,169.3,1.08,0.46,0.06,0.12,28.4,39.7,0.76,411,773,175,23,46,1,Astra,India
Zwilliams,OrgY,135,270.9,1.16,189.8,0.87,0.5,0.1,0.11,42.6,22.7,0.69,117,157,68,14,15,1,Brimstone,EU
Greencassandra,Legion,102,268.9,1.77,176.4,1.26,0.25,0.38,0.03,36.2,51.5,0.26,129,181,26,39,3,5,Phoenix,Japan
Nicholasberry,Zenith,394,324.2,1.06,194.8,1.16,0.82,0.26,0.12,27.3,50.5,0.87,457,418,323,102,47,7,Breach,Japan
Stevenedwards,Mystic,281,371.0,1.44,153.1,1.32,0.76,0.31,0.16,38.8,67.7,0.02,371,405,214,87,45,6,Breach,India
Andrew26,Quantum,486,328.9,0.95,203.1,0.65,0.48,0.17,0.14,22.4,32.8,0.76,316,462,233,83,68,4,Omen,ME
Thorntonnathan,Pulse,283,367.6,1.54,160.6,0.9,0.69,0.19,0.19,36.3,42.8,0.88,255,436,195,54,54,3,Breach,EU
Terrymiller,Pulse,411,315.2,1.08,157.1,0.85,0.55,0.22,0.14,37.9,11.9,0.03,349,444,226,90,58,2,Sage,Russia
Mwaller,Ascend,245,343.6,1.37,179.9,1.01,0.56,0.34,0.16,35.8,69.6,0.69,247,336,137,83,39,2,Skye,NA
Marie67,Vanguard,251,329.9,1.58,198.5,1.94,0.11,0.21,0.08,40.9,22.2,0.88,487,397,28,53,20,6,Reyna,ASIA
Bakerjerry,Eclipse,379,268.7,1.21,169.4,0.87,0.18,0.12,0.01,28.5,38.2,0.62,330,459,68,45,4,4,Viper,China
Rcole,Revolution,273,287.7,1.51,211.1,0.82,0.79,0.19,0.08,44.3,51.0,0.64,224,412,216,52,22,5,Sova,LATAM
Thomasphilip,Ascend,226,319.3,1.14,201.2,0.87,0.35,0.21,0.11,47.6,40.2,0.74,197,258,79,47,25,5,Sova,China
Christophermyers,Storm,384,257.0,1.45,177.5,1.66,0.41,0.22,0.09,32.9,54.4,0.46,637,557,157,84,35,4,Jett,Russia
Andrewkramer,Radiant,149,303.9,1.66,163.8,0.99,0.54,0.12,0.02,37.3,33.5,0.47,148,247,80,18,3,1,Brimstone,LATAM
